date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:24	35568/35568	---M--	200	added ('OK')	text/css	etag:%225821d185-8af0%22	http://burton.html.redbrush.eu/css/style.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/style.css	(from http://burton.html.redbrush.eu/)
20:32:24	3479/3479	---M--	200	added ('OK')	text/css	etag:%22581b4b8d-d97%22	http://burton.html.redbrush.eu/css/style_switcher.css	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/css/style_switcher.css	(from http://burton.html.redbrush.eu/)
20:32:25	32530/32530	---MCZ	200	added ('OK')	text/html	etag:W/%22581b4f66-7f12%22	http://burton.html.redbrush.eu/white.html	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/white.html	(from http://burton.html.redbrush.eu/)
20:32:31	28634/28634	---M--	200	added ('OK')	image/jpeg	etag:%2258189644-6fda%22	http://burton.html.redbrush.eu/img/back/p_img3.jpg	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/p_img3.jpg	(from http://burton.html.redbrush.eu/)
20:32:39	98935/98935	---M--	200	added ('OK')	image/jpeg	etag:%2258189644-18277%22	http://burton.html.redbrush.eu/img/back/p_img1.jpg	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/p_img1.jpg	(from http://burton.html.redbrush.eu/)
20:32:48	52606/52606	---M--	200	added ('OK')	image/jpeg	etag:%2258189644-cd7e%22	http://burton.html.redbrush.eu/img/back/p_img5.jpg	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/p_img5.jpg	(from http://burton.html.redbrush.eu/)
20:32:51	127609/127609	---M--	200	added ('OK')	image/jpeg	etag:%2258189644-1f279%22	http://burton.html.redbrush.eu/img/back/p_img4.jpg	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/p_img4.jpg	(from http://burton.html.redbrush.eu/)
20:32:52	18162/18162	---M--	200	added ('OK')	image/png	etag:%2258189644-46f2%22	http://burton.html.redbrush.eu/img/back/logo-codekit.png	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/logo-codekit.png	(from http://burton.html.redbrush.eu/)
20:32:53	183673/183673	---M--	200	added ('OK')	image/jpeg	etag:%2258189644-2cd79%22	http://burton.html.redbrush.eu/img/back/p_img6.jpg	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/p_img6.jpg	(from http://burton.html.redbrush.eu/)
20:32:55	18963/18963	---M--	200	added ('OK')	image/png	etag:%2258189644-4a13%22	http://burton.html.redbrush.eu/img/back/logo-envato.png	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/logo-envato.png	(from http://burton.html.redbrush.eu/)
20:32:55	17131/17131	---M--	200	added ('OK')	image/png	etag:%2258189644-42eb%22	http://burton.html.redbrush.eu/img/back/logo-github.png	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/logo-github.png	(from http://burton.html.redbrush.eu/)
20:32:55	192719/192719	---M--	200	added ('OK')	image/jpeg	etag:%2258189644-2f0cf%22	http://burton.html.redbrush.eu/img/back/p_img2.jpg	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/p_img2.jpg	(from http://burton.html.redbrush.eu/)
20:32:55	1752/1752	---M--	200	added ('OK')	image/png	etag:%2258189644-6d8%22	http://burton.html.redbrush.eu/img/back/logo-niton.png	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/logo-niton.png	(from http://burton.html.redbrush.eu/)
20:32:55	18071/18071	---M--	200	added ('OK')	image/png	etag:%2258189644-4697%22	http://burton.html.redbrush.eu/img/back/logo-jquery.png	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/img/back/logo-jquery.png	(from http://burton.html.redbrush.eu/)
20:32:57	13541/13541	---M--	200	added ('OK')	application/javascript	etag:%2258078f55-34e5%22	http://burton.html.redbrush.eu/js/headroom.js	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/js/headroom.js	(from http://burton.html.redbrush.eu/)
20:33:01	31739/31739	---M--	200	added ('OK')	application/javascript	etag:%2258133143-7bfb%22	http://burton.html.redbrush.eu/js/photoswipe.min.js	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/js/photoswipe.min.js	(from http://burton.html.redbrush.eu/)
20:33:02	3316/3316	---M--	200	added ('OK')	application/javascript	etag:%22581364d3-cf4%22	http://burton.html.redbrush.eu/js/jquery.hover3d.js	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/js/jquery.hover3d.js	(from http://burton.html.redbrush.eu/)
20:33:04	48398/48398	---M--	200	added ('OK')	application/javascript	etag:%2258078f58-bd0e%22	http://burton.html.redbrush.eu/js/skrollr.js	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/js/skrollr.js	(from http://burton.html.redbrush.eu/)
20:33:04	9889/9889	---M--	200	added ('OK')	application/javascript	etag:%225813310e-26a1%22	http://burton.html.redbrush.eu/js/photoswipe-ui-default.min.js	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/js/photoswipe-ui-default.min.js	(from http://burton.html.redbrush.eu/)
20:33:05	2747/2747	---M--	200	added ('OK')	application/javascript	etag:%22596f47b2-abb%22	http://burton.html.redbrush.eu/js/progressbar_tools.js	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/js/progressbar_tools.js	(from http://burton.html.redbrush.eu/)
20:33:06	4140/4140	---M--	200	added ('OK')	application/javascript	etag:%22581b4b8d-102c%22	http://burton.html.redbrush.eu/js/styleswitcher.js	C:/My%20Web%20Sites/rizal/burton.html.redbrush.eu/js/styleswitcher.js	(from http://burton.html.redbrush.eu/)
20:33:07	86709/86709	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.1.1/jquery.min.js	C:/My%20Web%20Sites/rizal/ajax.googleapis.com/ajax/libs/jquery/3.1.1/jquery.min.js	(from http://burton.html.redbrush.eu/)
